Resort_Name,Caption,Caption_Hashtags,Timestamp,User_Id,Likes
squawvalley,"My ass hurts...
#roadbiking #tahoe #squawvalley",roadbiking|tahoe|squawvalley,2020-04-22 03:15:08,awebbb702,21
squawvalley,Amazing light on Headwall this evening #squawvalley #endoftheroad,squawvalley|endoftheroad,2020-04-22 03:06:30,jdenitto,44
squawvalley,Plans vs Progress! Flip to see the work going on right now—,,2020-04-21 22:53:08,brokenarrowchalet,15
squawvalley,"(🔊 on for maximum experience) It’s been feeling like some pretty out of control times. Here’s a taste of some out of control skiing to go along with them. Meanwhile @momentskis Deathwish be all “that’s all you got?” @norrona @plumpjacksport @tahoesportshub @keepsquawtrue •
•
•
#skiing #squawvalley #momentskis #deathwish #norrøna #norrona #plumpjacksport #deepinspots #palisades #squallywood #gnar #xtreme #steepndeep #powder #freeskier #snowbrains #ski_islife #goprosnow #newschoolers #gopro #tahoe #california #goprohero8 #wutangforever #olympicbootworks #squaw #ski #squawalpine #tahoesportshub #KeepSquawTrue",skiing|squawvalley|momentskis|deathwish|norrøna|norrona|plumpjacksport|deepinspots|palisades|squallywood|gnar|xtreme|steepndeep|powder|freeskier|snowbrains|ski_islife|goprosnow|newschoolers|gopro|tahoe|california|goprohero8|wutangforever|olympicbootworks|squaw|ski|squawalpine|tahoesportshub|keepsquawtrue,2020-04-21 21:52:10,mandrewhays,153
mammothmountain,"The nature is so serene at Mammoth Lakes, California. Just after I took this photo I saw a bear next to the lake but of course I didn’t have my zoom lens ready 😒.",,2020-04-22 12:22:19,ajarrettphotography,50
mammothmountain,"Чистого неба над головой, пусть всегда будет солнце и братья наши меньшие🤲🏻...
⠀ ⠀ 
Будьте здоровы💚! ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
#добрыйвечер#карантин#архив#горы#казахстан#великиегоры#искусство#бивеньмамонта#ручнаяработа#косторезноеискусство#берегитедругдруга#оставайтесьдома#carantine#mountains#mountain#mountainlovers#kazakhstan#bigalmatylake#handmade#art#mammothmountain#mammoth#mammothtusk#stayhome#animals#naturephotography#photography#stayathome",добрыйвечер|карантин|архив|горы|казахстан|великиегоры|искусство|бивеньмамонта|ручнаяработа|косторезноеискусство|берегитедругдруга|оставайтесьдома|carantine|mountains|mountain|mountainlovers|kazakhstan|bigalmatylake|handmade|art|mammothmountain|mammoth|mammothtusk|stayhome|animals|naturephotography|photography|stayathome,2020-04-22 11:58:12,tusk_ykt,21
mammothmountain,"Credit: Antiquity, Alex Pryor. The structure was found at an archaeological site, known as Kostenki 11, which is located by the Don River, close to the Russian city of Voronezh. Radiocarbon dating suggests that the site is around 25,000 years old, making it one of the oldest mammoth bone structure

#architecturedesign #archeaologysite #discovery #discoverypage #antiquity #alexpryor #mammothmountain #mammothbones #discover_earth #russia #russian #russianhistory .",architecturedesign|archeaologysite|discovery|discoverypage|antiquity|alexpryor|mammothmountain|mammothbones|discover_earth|russia|russian|russianhistory,2020-04-22 07:03:25,h.i.s.t.o.r.y.007,13
mammothmountain,"Here's the video from the other day of the 7lb Lightning Trout
.
.
.
.
.
.
.
.
.
.
.
.
.
.
#easternsierras #mammothstories #mammothmountain #browntrout #cutthroat #cutthroattrout #rainbowtrout #flyfishing #jdm #jdmfishing #convictlake #crowleylake #pyramidlake  @ares_lure_rod  @daiwa_japan @digitakagram @graphiteleader_official #troutfishing #trout #finesseanglers #crappie #bass #bassfishing @outcastsportinggear #superfatcat #jdmfishing #lightningtrout  #palmdalefinandfeatherclub @gopro @gopro_fishing @egofishinggear",easternsierras|mammothstories|mammothmountain|browntrout|cutthroat|cutthroattrout|rainbowtrout|flyfishing|jdm|jdmfishing|convictlake|crowleylake|pyramidlake|troutfishing|trout|finesseanglers|crappie|bass|bassfishing|superfatcat|jdmfishing|lightningtrout|palmdalefinandfeatherclub,2020-04-22 05:08:05,finesse_anglers,19
alpinemeadows,"Tending to my garden 🌼 bloom away, little petals.",,2020-04-21 22:17:11,disco_steph,60
alpinemeadows,"Spring has officially sprung in Hope Valley, and we're starting to see lots of sprouting and blooming! We can't wait until all of our wonderful guests can enjoy our beautiful backyard with us. 🌱☀️⠀
.⠀
.⠀
.⠀
.⠀
.⠀
#sorensensresort #mountaingetaway #mountainresort #logcabins #cabininthewoods #cabinliving #mountainhiking #mountainliving #alpinemeadows #northerncali #mountainvacation #hopevalley #sierranevada #southlaketahoe #northerncalifornia #southtahoe #visittahoe #highsierras #kirkwood #renotahoe #familyvacay #familyvacations #weekendtime #vacationhome #homeawayfromhome",sorensensresort|mountaingetaway|mountainresort|logcabins|cabininthewoods|cabinliving|mountainhiking|mountainliving|alpinemeadows|northerncali|mountainvacation|hopevalley|sierranevada|southlaketahoe|northerncalifornia|southtahoe|visittahoe|highsierras|kirkwood|renotahoe|familyvacay|familyvacations|weekendtime|vacationhome|homeawayfromhome,2020-04-21 22:13:43,sorensensresort,33
